RowOrder,Date,AgeDays,Clutch,Individual,Final_Stages,JiggledHour,JiggledMin,JiggledSec,TimeJiggledHr,HorNH,HatchedHour,HatchedMin,HatchedSec,TimeHatched,ImgStart,ImgEnd,JJ_face_middle_totalsides,JJ_face_yolk_totalsides,JJ_face_mouth_totalsides,JJ_face_undereye_totalsides,JJ_face_overeye_totalsides,JJ_body_ALL_1side,JJ_body_PLL_1side,JJ_body_dorsal_totalsides,JJ_total,AC_face_middle_totalsides,AC_face_yolk_totalsides,AC_face_mouth_totalsides,AC_face_undereye_totalsides,AC_face_overeye_totalsides,AC_body_ALL_1side,AC_body_PLL_1side,AC_body_dorsal_totalsides,AC_total,TL_img,Tadpole_length
11,20180808,4,452,4,29,11,1,0,11.01666667,No,NA,NA,NA,NA,386,426,27,20,34,28,13,33,93,12,373,33,8,30,34,45,62,76,23,404,no dorsal view,NA
12,20180808,4,453,3,29,11,7,0,11.11666667,Yes,11,9,38,11.16055556,235,282,31,18,28,22,32,28,81,11,328,27,3,28,28,38,28,67,21,297,image0239.tif,10.672
13,20180808,4,454,3,28,11,7,0,11.11666667,Yes,11,12,24,11.20666667,283,313,16,15,30,22,20,33,97,8,351,16,15,34,24,33,34,82,18,339,image0296.tif,7.665
14,20180808,4,452,5,29,11,15,0,11.25,Yes,11,17,17,11.28805556,314,349,26,0,26,22,49,26,93,11,323,28,0,34,26,54,38,94,6,358,image0332.tif,9.854
15,20180808,4,452,6,29,11,15,0,11.25,No,NA,NA,NA,NA,427,462,25,19,33,20,33,31,108,20,395,27,24,37,22,41,26,88,30,368,image0460.tif,10.482
16,20180808,4,452,7,29,11,15,0,11.25,No,NA,NA,NA,NA,463,511,24,0,31,19,37,28,74,13,291,25,0,35,25,45,23,84,13,312,image0463.tif,9.731
17,20180808,3,455,1,26,15,9,0,15.15,No,NA,NA,NA,NA,0,7,0,0,0,0,0,0,8,5,21,0,0,0,0,0,0,14,8,36,no dorsal view,NA
18,20180808,3,456,1,26,15,9,0,15.15,No,NA,NA,NA,NA,8,19,2,0,0,0,0,14,47,12,136,4,0,0,0,0,25,29,12,124,no dorsal view,NA
19,20180808,3,457,1,26,15,15,0,15.25,No,NA,NA,NA,NA,20,35,0,0,3,6,4,18,28,11,112,0,0,0,0,9,15,38,17,123,image0026.tif,9.492
20,20180808,3,458,1,26,15,15,0,15.25,No,NA,NA,NA,NA,36,59,15,0,0,6,23,26,63,10,209,13,3,0,9,20,26,58,13,206,no dorsal view,
21,20180809,4,455,2,29,4,41,0,4.683333333,No,NA,NA,NA,NA,1,39,19,11,17,14,22,14,43,14,189,19,11,19,17,25,15,42,23,203,image0026.tif,10.337
22,20180809,4,456,2,29,4,41,0,4.683333333,No,NA,NA,NA,NA,40,63,16,9,16,11,22,25,71,16,260,18,9,18,14,18,24,64,19,254,image0052.tif,10.72
23,20180809,4,457,2,28,4,50,0,4.833333333,Yes,4,53,38,4.893888889,64,89,26,12,21,24,27,29,95,10,341,27,16,21,28,32,26,77,10,308,image0064.tif,10.585
24,20180809,4,458,2,28,4,50,0,4.833333333,No,NA,NA,NA,NA,90,109,20,9,21,23,29,29,79,14,303,23,8,23,23,28,32,58,12,269,image0107.tif,10.633
26,20180809,3,459,2,25,6,34,0,6.566666667,No,NA,NA,NA,NA,1,22,0,0,0,0,0,13,3,0,32,0,0,0,0,0,14,0,5,33,no dorsal view,NA
27,20180809,3,459,3,25,6,40,0,6.666666667,No,NA,NA,NA,NA,23,34,0,0,0,0,0,11,0,0,22,0,0,0,0,0,14,0,0,28,image0032,8.721
28,20180809,3,459,4,25,6,40,0,6.666666667,No,NA,NA,NA,NA,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,image0035.tif,8.644
29,20180809,4,455,3,28,7,37,0,7.616666667,No,NA,NA,NA,NA,1,18,0,0,0,0,0,15,14,0,58,3,0,0,0,0,18,27,0,93,image0016.tif,9.57
30,20180809,4,456,3,29,7,37,0,7.616666667,Yes,7,40,38,7.677222222,19,42,26,14,25,18,27,25,95,13,336,29,13,25,20,27,24,83,19,320,image0026.tif,10.25
31,20180809,4,457,3,29,7,45,0,7.75,Yes,7,46,28,7.774444444,43,62,14,11,22,19,12,18,74,14,264,17,33,24,24,27,18,66,17,283,image0052.tif,10.62
32,20180809,4,458,3,29,7,45,0,7.75,Yes,7,48,30,7.808333333,63,90,24,10,9,13,25,29,69,16,268,24,8,12,18,32,28,67,15,267,image0063.tif,10.174
33,20180809,4,455,4,29,7,54,0,7.9,Yes,7,57,19,7.955277778,91,116,20,10,16,14,22,30,69,10,268,16,6,22,14,28,30,71,13,273,image0107.tif,10.903
34,20180809,2,492,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,1,11,0,0,0,0,0,11,5,0,32,0,0,0,0,0,12,23,0,70,image0004.tif,6.53
35,20180809,2,493,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,12,51,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,12,image0012.tif,8.892
36,20180809,2,494,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,52,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,image0079.tif,9.248
37,20180809,2,495,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,96,112,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,1,3,5,image0097.tif,9.15
38,20180810,4,503,1,29,5,25,0,5.416666667,No,NA,NA,NA,NA,1,52,26,19,26,24,32,36,64,17,312,27,19,28,28,39,37,59,37,331,image0025.tif,10.776
39,20180810,4,504,1,29,5,25,0,5.416666667,No,NA,NA,NA,NA,53,96,19,13,20,15,20,27,86,15,308,20,15,24,20,25,27,82,27,324,image0072.tif,8.011
40,20180810,3,492,2,25,5,31,0,5.516666667,No,NA,NA,NA,NA,97,126,0,0,0,1,2,5,11,6,39,2,0,0,0,5,9,13,6,52,no dorsal view,NA
41,20180810,3,493,2,25,5,31,0,5.516666667,No,NA,NA,NA,NA,127,161,0,0,0,0,7,13,14,8,62,0,0,0,0,11,19,18,3,77,no dorsal view,NA
42,20180810,3,494,2,25,5,37,30,5.625,No,NA,NA,NA,NA,162,198,0,0,0,1,2,13,5,7,44,1,0,0,0,5,8,5,6,33,no dorsal view,NA
43,20180810,3,495,2,25,5,37,30,5.625,No,NA,NA,NA,NA,199,226,0,0,0,0,0,11,5,3,35,0,0,0,0,0,14,12,0,52,no dorsal view,NA
44,20180810,4,503,2,29,8,7,0,8.116666667,Yes,8,11,17,8.188055556,1,29,23,16,33,20,22,42,80,12,348,26,20,38,23,25,30,79,18,343,image0022.tif,10.736
45,20180810,4,504,2,29,8,7,0,8.116666667,No,NA,NA,NA,NA,174,203,19,11,19,20,27,28,76,9,286,19,12,24,18,24,29,66,9,272,no dorsal view,NA
46,20180810,4,503,3,29,8,19,0,8.316666667,No,NA,NA,NA,NA,133,173,27,14,27,16,26,29,82,10,316,27,17,25,19,33,28,75,25,319,image0136.tif,9.826
47,20180810,4,504,3,29,8,19,0,8.316666667,Yes,8,21,19,8.355277778,30,68,26,15,22,19,24,27,58,16,268,22,16,23,19,28,25,37,23,227,image0037.tif,8.77
48,20180810,4,503,4,29,8,27,0,8.45,Yes,8,29,10,8.486111111,69,100,19,16,25,19,24,34,78,11,314,15,18,35,25,28,42,46,23,292,image0069.tif,7.881
49,20180810,4,504,4,28,8,27,0,8.45,No,NA,NA,NA,NA,101,132,21,18,28,23,48,27,76,18,314,18,23,32,27,29,30,69,28,326,image0114.tif,7.89
50,20180810,3,492,3,27,14,54,0,14.9,No,NA,NA,NA,NA,1,24,11,4,12,10,24,14,61,9,196,12,6,18,11,28,12,57,14,199,no dorsal view,NA
51,20180810,3,493,3,26,14,54,0,14.9,No,NA,NA,NA,NA,25,54,11,0,0,8,12,20,69,12,209,8,0,6,9,26,35,60,13,226,image0042.tif,10.671
52,20180810,3,494,3,27,15,0,0,15,No,NA,NA,NA,NA,55,67,0,0,0,0,10,13,44,10,124,0,0,0,0,6,13,33,9,101,image0067.tif,10.166
53,20180810,3,495,3,26,15,0,0,15,No,NA,NA,NA,NA,68,105,9,0,4,6,14,15,38,9,134,8,0,2,10,17,14,39,16,142,image0093.tif,8.113
54,20180810,2,500,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no dorsal view,NA
55,20180810,2,501,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,10,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,no dorsal view,NA
56,20180810,2,499,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,22,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,no dorsal view,NA
57,20180810,2,497,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,44,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,image0047.tif,7.934
58,20180810,2,496,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,68,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,image0083.tif,8.257
59,20180810,2,498,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,90,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,image0090.tif,7.834
60,20180810,2,502,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,107,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,image0113.tif,8.944
61,20180811,3,500,2,26,NA,NA,NA,NA,No,NA,NA,NA,NA,1,12,1,0,0,0,0,19.5,37,7,121,2,0,0,0,0,21,33,10,120,image0006.tif,9.14
62,20180811,3,501,2,26,NA,NA,NA,NA,No,NA,NA,NA,NA,13,38,0,0,0,0,0,13,20,5,71,1,0,2,0,0,15,29,9,100,image0016.tif,7.522
63,20180811,3,499,2,26,NA,NA,NA,NA,No,NA,NA,NA,NA,39,50,0,0,0,0,0,6,20,1,53,0,0,0,0,3,8,23,3,65,image0039.tif,7.012
64,20180811,3,497,2,26,NA,NA,NA,NA,No,NA,NA,NA,NA,51,65,0,0,0,0,4,11,0,0,22,0,0,0,0,5,15,5,5,45,image0060.tif,9.184
65,20180811,3,496,2,26,NA,NA,NA,NA,No,NA,NA,NA,NA,66,77,0,0,0,0,5,15,23,2,78,0,0,0,0,6,16,28,6,94,image0071.tif,9.309
66,20180811,3,498,2,26,NA,NA,NA,NA,No,NA,NA,NA,NA,78,89,0,0,0,0,2,18,42,3,123,0,0,0,0,7,26,37,0,126,image0078.tif,8.34
67,20180811,3,502,2,26,NA,NA,NA,NA,No,NA,NA,NA,NA,90,105,0,0,0,0,1,23,17,4,84,0,0,0,0,12,25,23,6,102,image0090.tif,10.164
68,20180811,3,480,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,106,120,0,0,0,0,4,12,7,2,40,5,1,0,0,8,9,8,2,42,image0113.tif,9.435
69,20180811,3,481,1,25,NA,NA,NA,NA,No,NA,NA,NA,NA,121,131,0,0,0,0,4,13,27,3,83,0,0,0,0,11,13,19,2,66,image0125.tif,7.704
70,20180811,5,510,1,31,6,41,35,6.693055556,Yes,6,41,55,6.698611111,132,152,29,27,50,19,24,53,78,13,400,29,26,40,23,46,38,63,21,341,image0140.tif,9.637
71,20180811,5,510,2,32,6,44,34,6.742777778,Yes,6,44,40,6.744444444,153,185,34,34,61,20,19,52,91,12,447,36,35,52,36,17,37,88,12,421,image0163.tif,9.129
72,20180811,3,500,3,28,14,49,0,14.81666667,No,NA,NA,NA,NA,1,22,7,0,0,14,10,25,66,11,214,6,0,3,12,15,24,67,19,222,image0006.tif,9.131
73,20180811,3,501,3,29,14,49,0,14.81666667,No,NA,NA,NA,NA,23,49,15,0,0,9,18,23,62,11,205,10,0,0,11,26,25,61,16,209,image0039.tif,7.025
74,20180811,3,499,3,28,14,55,30,14.925,No,NA,NA,NA,NA,50,74,5,0,0,2,17,14,35,13,118,5,0,0,6,12,13,45,21,148,image0058.tif,7.762
75,20180811,3,497,3,28,14,55,30,14.925,No,NA,NA,NA,NA,75,85,0,0,0,0,16,19,49,7,143,0,0,0,0,12,22,41,19,145,image0078.tif,8.297
76,20180811,3,496,3,28,15,1,0,15.01666667,No,NA,NA,NA,NA,86,103,8,0,0,10,20,19,54,10,174,9,0,0,10,23,21,54,13,182,image0090.tif,10.149
77,20180811,3,498,3,28,15,1,0,15.01666667,No,NA,NA,NA,NA,104,119,4,0,4,6,17,25,73,10,220,4,2,4,9,20,24,78,17,240,image0113.tif,9.374
78,20180811,3,502,3,28,15,6,0,15.1,No,NA,NA,NA,NA,120,141,16,0,4,10,25,29,63,10,224,14,1,5,15,25,39,66,15,260,image0125.tif,7.702
79,20180811,3,480,2,28,15,6,0,15.1,No,NA,NA,NA,NA,142,160,15,0,1,16,25,20,39,14,164,15,0,0,17,27,19,30,12,142,image0142.tif,6.665
80,20180811,3,481,2,28,15,11,30,15.19166667,No,NA,NA,NA,NA,161,183,14,0,0,3,19,19,56,6,173,15,0,0,3,17,19,48,6,158,image0163.tif,9.166
